Verb,Description,GUI,WARNING
ObjectEditClipPath, Edit clipping path,TRUE,WARNING: ignoring verb ObjectEditClipPath - GUI required for this verb.
ObjectUnSetClipPath, Remove clipping path from selection,TRUE,WARNING: ignoring verb ObjectUnSetClipPath - GUI required for this verb.
TagNew, Create new selection set,FALSE,NA
ToolSelector, Select and transform objects (S),TRUE,WARNING: ignoring verb ToolSelector - GUI required for this verb.
ToolNode, Edit paths by nodes (N),TRUE,WARNING: ignoring verb ToolNode - GUI required for this verb.
ToolTweak, Tweak objects by sculpting or painting (W),TRUE,WARNING: ignoring verb ToolTweak - GUI required for this verb.
ToolSpray, Spray objects by sculpting or painting (A),TRUE,WARNING: ignoring verb ToolSpray - GUI required for this verb.
ToolRect, Create rectangles and squares (R),TRUE,WARNING: ignoring verb ToolRect - GUI required for this verb.
Tool3DBox, Create 3D boxes (X),TRUE,WARNING: ignoring verb Tool3DBox - GUI required for this verb.
ToolArc," Create circles, ellipses, and arcs (E)",TRUE,WARNING: ignoring verb ToolArc - GUI required for this verb.
ToolStar, Create stars and polygons (*),TRUE,WARNING: ignoring verb ToolStar - GUI required for this verb.
ToolSpiral, Create spirals (I),TRUE,WARNING: ignoring verb ToolSpiral - GUI required for this verb.
ToolPencil, Draw freehand lines (P),TRUE,WARNING: ignoring verb ToolPencil - GUI required for this verb.
ToolPen, Draw Bezier curves and straight lines (B),TRUE,WARNING: ignoring verb ToolPen - GUI required for this verb.
ToolCalligraphic, Draw calligraphic or brush strokes (C),TRUE,WARNING: ignoring verb ToolCalligraphic - GUI required for this verb.
ToolText, Create and edit text objects (T),TRUE,WARNING: ignoring verb ToolText - GUI required for this verb.
ToolGradient, Create and edit gradients (G),TRUE,WARNING: ignoring verb ToolGradient - GUI required for this verb.
ToolMesh, Create and edit meshes,TRUE,WARNING: ignoring verb ToolMesh - GUI required for this verb.
ToolZoom, Zoom in or out (Z),TRUE,WARNING: ignoring verb ToolZoom - GUI required for this verb.
